,Dates,Ratings,Reviews
46,"June 14, 2019",Rated 5 stars out of five stars,"Very good, especially I like Fingerprint login. No headache of remembering passwords."
47,"June 22, 2019",Rated 2 stars out of five stars,unable to download update. it gets stuck at 97% due to this unable to use application. kindly fix this
48,"June 1, 2019",Rated 4 stars out of five stars,"Very easy to use ,Saves time .I really appreciate the developers .Thanks a lot"
49,"June 23, 2019",Rated 1 stars out of five stars,I cant update and now i cant use the app what do i do this is really annoying because i need to transfer money right now
50,"June 24, 2019",Rated 5 stars out of five stars,"awesome online services,i m really inspired by the NBD online account Managment team,Nice work dudes"
51,"June 23, 2019",Rated 5 stars out of five stars,Everything is perfect but I have forgotten the secret question so is the username and now I can't access
52,"June 22, 2019",Rated 1 stars out of five stars,"annoying with all imposed again and again, unwated features; not user friendly; often not responding"
53,"June 22, 2019",Rated 2 stars out of five stars,"The download for that update is never completed, and now we can not access the app"
54,"June 22, 2019",Rated 1 stars out of five stars,why the hell does this get updated in a month's time and why does this need access to storage
55,"June 21, 2019",Rated 1 stars out of five stars,"No good offers for ENBD card holders in AbuDhabi, base branches closed, no ATM network...useless credit card"
56,"June 22, 2019",Rated 5 stars out of five stars,I love it i never go to my Bank personally. Everything i need is in this app.
57,"May 31, 2019",Rated 4 stars out of five stars,"it is very good Apps, but the system of the security should be reconsidered"
58,"June 22, 2019",Rated 2 stars out of five stars,forced me to update when i needed to urgently check something. so annoying.
59,"June 24, 2019",Rated 2 stars out of five stars,I'm usizng android Q beta 4 and whenever i try to login it says I'm using old android version. please fix it
60,"June 23, 2019",Rated 1 stars out of five stars,Unable to trnsfr direct remit feautre after the upgrade of this app.. After adng beneficiary app fails to save saying prbln due to maintenance
61,"June 27, 2019",Rated 2 stars out of five stars,I can't sent money to new beneficiary . why ???
62,"June 15, 2019",Rated 1 stars out of five stars,Hangs after log in. Worst banking app. Just uninstalled it.
63,"June 22, 2019",Rated 1 stars out of five stars,Updated version does not even download due to which I can't even use my mobile app
64,"June 24, 2019",Rated 5 stars out of five stars,Good app. Easy to use. Good design. User friendly
65,"June 22, 2019",Rated 4 stars out of five stars,a very useful app to manage and secure your bank accounts and transactions
66,"June 22, 2019",Rated 1 stars out of five stars,bad ..they blocked my account & i lost my money ...and you cant reach to someone to call
67,"June 1, 2019",Rated 5 stars out of five stars,Easy to use and control your account. Best in the banking market
68,"June 22, 2019",Rated 2 stars out of five stars,Really wish it was more organized and clear where payments are coming from
69,"May 28, 2019",Rated 4 stars out of five stars,"a good application that can use some modifications, on how to report fraud, how to communicate with someone for immediate support..."
70,"June 2, 2019",Rated 5 stars out of five stars,I think it is the best mobile banking application in the UAE ever
71,"June 23, 2019",Rated 1 stars out of five stars,Unable to open the app.. How long will it take to update
72,"May 29, 2019",Rated 5 stars out of five stars,"Very efficient and quick. Just a few bugs in the processing part, but very helpful."
73,"May 29, 2019",Rated 4 stars out of five stars,Emirates nbd yur app developers * .. the app is not working after update 26 jan 2019 Now its working fine after update. 29/05/2019
74,"June 23, 2019",Rated 3 stars out of five stars,i can't download it on my S7 edge😡. always stuck @ 87mB
75,"May 29, 2019",Rated 3 stars out of five stars,"great for simple things, but lacks some important aspects of the main site e.g. direct remit to UK"
76,"May 28, 2019",Rated 1 stars out of five stars,"every 2.months, app keeps messing up my password and causes me to get locked out of my account"
77,"May 25, 2019",Rated 5 stars out of five stars,"very handy, easy to use and transfer funds etc. best bank in UAE I would recommend this bank to others."
78,"June 27, 2019",Rated 1 stars out of five stars,regular updates almost monthly. tremendous amount of space consumed
79,"June 25, 2019",Rated 1 stars out of five stars,wrost bank ever. not able to add direct remit beneficiary. no response
80,"May 26, 2019",Rated 2 stars out of five stars,"This app is not user friendly at all. Everytime you face a problem and to fix it, you spend hours and customer care really needs to improve!"
81,"June 11, 2019",Rated 5 stars out of five stars,the best Bank in service and customer satisfaction.
82,"June 22, 2019",Rated 2 stars out of five stars,it doesn't allow to install to Android with no GPS phone which is my case
83,"June 27, 2019",Rated 5 stars out of five stars,best of the best 12 year in using the services of Emirates NBD
